OrderID,Date,CustomerID,Region,Channel,Category,Product,Quantity,UnitPrice_KES,Revenue_KES,PaymentMethod
ORD0001,2026-03-23,CUST032,Mombasa,In-Store,Electronics,Wireless Mouse,3,1800,5400,M-Pesa
ORD0002,2026-03-28,CUST005,Nairobi,In-Store,Electronics,Bluetooth Speaker,4,5200,20800,M-Pesa
ORD0003,2026-03-06,CUST092,Nakuru,In-Store,Electronics,Bluetooth Speaker,2,5200,10400,Cash
ORD0004,2026-02-05,CUST044,Kisumu,In-Store,Electronics,Keyboard,4,3200,12800,Card
ORD0005,2026-01-14,CUST046,Kisumu,In-Store,Electronics,Power Bank,1,3500,3500,M-Pesa
ORD0006,2026-02-28,CUST071,Kisumu,Online,Electronics,Power Bank,1,3500,3500,Cash
ORD0007,2026-02-16,CUST085,Mombasa,Online,Home & Office,Desk Lamp,1,2800,2800,M-Pesa
ORD0008,2026-01-30,CUST059,Kisumu,In-Store,Electronics,Power Bank,3,3500,10500,Card
ORD0009,2026-01-27,CUST082,Mombasa,In-Store,Personal Care,Hair Dryer,5,4800,24000,M-Pesa
ORD0010,2026-01-21,CUST119,Mombasa,Online,Accessories,Earphones,3,3000,9000,M-Pesa
ORD0011,2026-01-30,CUST035,Nairobi,In-Store,Electronics,USB-C Hub,4,4500,18000,Cash
ORD0012,2026-02-10,CUST114,Nakuru,In-Store,Home & Office,Water Bottle,4,1500,6000,M-Pesa
ORD0013,2026-02-01,CUST115,Nakuru,In-Store,Personal Care,Face Cleanser,4,1600,6400,M-Pesa
ORD0014,2026-03-07,CUST111,Nairobi,In-Store,Accessories,Phone Case,1,1100,1100,M-Pesa
ORD0015,2026-03-29,CUST050,Nakuru,In-Store,Accessories,Smart Watch Strap,1,1400,1400,Card
ORD0016,2026-03-09,CUST088,Nairobi,Online,Personal Care,Face Cleanser,1,1600,1600,Cash
ORD0017,2026-02-04,CUST056,Mombasa,In-Store,Personal Care,Hair Dryer,3,4800,14400,Cash
ORD0018,2026-02-03,CUST112,Kisumu,Online,Home & Office,Backpack,1,4200,4200,Cash
ORD0019,2026-03-19,CUST098,Mombasa,In-Store,Home & Office,Notebook Pack,3,900,2700,Cash
ORD0020,2026-01-01,CUST015,Kisumu,Online,Personal Care,Perfume,1,5500,5500,Card
ORD0021,2026-01-31,CUST011,Nairobi,Online,Electronics,Keyboard,5,3200,16000,M-Pesa
ORD0022,2026-03-10,CUST071,Mombasa,In-Store,Home & Office,Notebook Pack,4,900,3600,Cash
ORD0023,2026-02-24,CUST092,Kisumu,In-Store,Home & Office,Backpack,2,4200,8400,Cash
ORD0024,2026-03-25,CUST058,Nairobi,In-Store,Personal Care,Perfume,5,5500,27500,M-Pesa
ORD0025,2026-02-13,CUST030,Mombasa,In-Store,Electronics,Bluetooth Speaker,5,5200,26000,Cash
ORD0026,2026-03-22,CUST116,Nairobi,Online,Electronics,Keyboard,1,3200,3200,M-Pesa
ORD0027,2026-03-07,CUST028,Mombasa,Online,Home & Office,Office Chair,4,14500,58000,Cash
ORD0028,2026-03-15,CUST104,Nakuru,In-Store,Accessories,Charging Cable,4,950,3800,M-Pesa
ORD0029,2026-03-26,CUST053,Nakuru,Online,Accessories,Laptop Sleeve,4,2600,10400,M-Pesa
ORD0030,2026-03-28,CUST094,Kisumu,Online,Electronics,Wireless Mouse,4,1800,7200,M-Pesa
ORD0031,2026-02-01,CUST058,Mombasa,In-Store,Home & Office,Notebook Pack,5,900,4500,Card
ORD0032,2026-03-01,CUST104,Nairobi,In-Store,Home & Office,Desk Lamp,4,2800,11200,Cash
